Seed, Diametar, Diameter Gap, ASPL, ASPL Gap, switches, computing-time(sec.)
"=INDEX(A4:A33,MATCH(D2,D4:D33,0))","=INDEX(B4:B33,MATCH(D2,D4:D33,0))","=INDEX(C4:C33,MATCH(D2,D4:D33,0))",=MIN(D4:D33),"=INDEX(E4:E33,MATCH(D2,D4:D33,0))","=INDEX(F4:F33,MATCH(D2,D4:D33,0))","=INDEX(G4:G33,MATCH(D2,D4:D33,0))", BEST
=AVERAGE(A4:A33),=AVERAGE(B4:B33),=AVERAGE(C4:C33),=AVERAGE(D4:D33),=AVERAGE(E4:E33),=AVERAGE(F4:F33),=AVERAGE(G4:G33),AVERAGE
0, 7, 2, 5.129532472, 0.8059743096, 342, 1963.407
1, 6, 1, 5.130017412, 0.8064592498, 342, 1963.047
2, 6, 1, 5.129471377, 0.8059132148, 342, 1971.25
3, 6, 1, 5.130901378, 0.8073432154, 343, 1988.297
4, 6, 1, 5.131607787, 0.8080496243, 341, 1944.281
5, 7, 2, 5.127869547, 0.804311385, 341, 1901.079
6, 7, 2, 5.125838145, 0.8022799823, 347, 1777.156
7, 6, 1, 5.12943892, 0.8058807582, 341, 1678.437
8, 7, 2, 5.128755422, 0.8051972599, 348, 1778.282
9, 6, 1, 5.131000657, 0.8074424945, 337, 1683.703
10, 6, 1, 5.131802526, 0.808244364, 337, 1722.282
11, 6, 1, 5.130225516, 0.806667354, 345, 1758.312
12, 6, 1, 5.130194969, 0.8066368066, 344, 1779.563
13, 6, 1, 5.130000229, 0.8064420668, 341, 1713.438
14, 6, 1, 5.128917705, 0.805359543, 338, 1669.999
15, 6, 1, 5.132718949, 0.8091607863, 343, 1945.938
16, 6, 1, 5.130538627, 0.8069804649, 344, 1969.141
17, 6, 1, 5.131726158, 0.8081679955, 337, 1994.656
18, 6, 1, 5.128845155, 0.8052869929, 342, 1984.485
19, 6, 1, 5.131928534, 0.8083703721, 339, 1934.187
20, 6, 1, 5.128360215, 0.8048020528, 346, 1897.391
21, 7, 2, 5.128457585, 0.8048994227, 341, 1738.265
22, 6, 1, 5.131764342, 0.8082061797, 341, 1673.126
23, 7, 2, 5.129001711, 0.8054435484, 343, 1766.156
24, 6, 1, 5.129387372, 0.8058292094, 342, 1690.204
25, 6, 1, 5.132228281, 0.8086701185, 342, 1762.64
26, 7, 2, 5.129450376, 0.8058922135, 342, 1751.296
27, 6, 1, 5.131191578, 0.8076334158, 341, 1765.625
28, 6, 1, 5.12922127, 0.8056631079, 344, 1762.094
29, 6, 1, 5.129788306, 0.8062301442, 341, 1660.328
